Job Title,Skills Required,Job Description,Average Salary (INR per month),Educational Qualifications
Software Developer,[Programming | Problem Solving | Software Development | Algorithm Design],Develops and maintains software applications. Works on coding. testing. and debugging. Collaborates with the team.,60000,Bachelor's in Computer Science
Mechanical Engineer,[Mechanical Design | CAD | Thermodynamics | Problem Solving],Designs and analyzes mechanical systems. Works on product development. manufacturing processes. and quality control.,55000,Bachelor's in Mechanical Engineering
Electrical Engineer,[Electrical Circuits | Power Systems | Control Systems | Troubleshooting],Designs. develops. and tests electrical systems. Ensures the safe and efficient operation of electrical equipment.,58000,Bachelor's in Electrical Engineering
Civil Engineer,[Structural Analysis | Project Management | AutoCAD | Construction],Plans and designs infrastructure projects. such as buildings. bridges. and roads. Manages construction and ensures safety and quality.,54000,Bachelor's in Civil Engineering
Data Scientist,[Data Analysis | Machine Learning | Statistical Analysis | Python],Analyzes and interprets complex data. Develops predictive models and insights for decision-making.,70000,Bachelor's in Data Science or related field
Network Engineer,[Network Configuration | Security | Troubleshooting | Network Design],Manages and maintains computer networks. Ensures network efficiency. security. and reliability.,60000,Bachelor's in Computer Networking
Aerospace Engineer,[Aerodynamics | Structural Analysis | Aircraft Design | Spacecraft Systems],Designs and develops aircraft. spacecraft. and related systems. Focuses on aerodynamics and structural integrity.,65000,Bachelor's in Aerospace Engineering
Environmental Engineer,[Environmental Impact Assessment | Waste Management | Water Quality Analysis | Regulatory Compliance],Addresses environmental issues. including pollution control. waste management. and sustainability.,58000,Bachelor's in Environmental Engineering
Biomedical Engineer,[Medical Device Design | Biomaterials | Biomechanics | Medical Imaging],Develops medical devices and equipment. with a focus on improving healthcare technology.,62000,Bachelor's in Biomedical Engineering
Chemical Engineer,[Chemical Processes | Chemical Analysis | Quality Control | Chemical Plant Operation],Designs and oversees chemical processes in industries like pharmaceuticals. petrochemicals. and manufacturing.,58000,Bachelor's in Chemical Engineering
Electronics Engineer,[Electronic Circuit Design | Embedded Systems | Analog/Digital Electronics | Component Testing],Designs. tests. and maintains electronic systems and components for various applications.,59000,Bachelor's in Electronics Engineering
Petroleum Engineer,[Reservoir Engineering | Drilling Operations | Oil & Gas Production | Reservoir Simulation],Manages and optimizes the extraction of oil and gas resources from reservoirs.,67000,Bachelor's in Petroleum Engineering
Robotics Engineer,[Robot Programming | Mechatronics | Machine Vision | Control Systems],Designs. builds. and maintains robotic systems used in various industries and applications.,62000,Bachelor's in Robotics Engineering
Biotech Research Scientist,[Molecular Biology | Genetic Engineering | Biotechnology Research | Lab Techniques],Conducts research in biotechnology. genetics. and related fields to develop new products and technologies.,68000,Bachelor's in Biotechnology
Electrical Design Engineer,[Circuit Design | Electronic Prototyping | CAD | Component Selection],Focuses on designing electronic circuits and systems. often working on product development and optimization.,57000,Bachelor's in Electrical Engineering
Structural Engineer,[Structural Analysis | Building Design | Safety Regulations | Construction Supervision],Designs and analyzes structures like buildings and bridges. ensuring they meet safety and regulatory standards.,58000,Bachelor's in Civil Engineering or related field
Materials Engineer,[Materials Testing | Material Selection | Quality Control | Materials Research],Studies and develops materials with specific properties for various applications in industries like aerospace and automotive.,56000,Bachelor's in Materials Science or related field
Industrial Engineer,[Process Optimization | Supply Chain Management | Quality Control | Lean Manufacturing],Focuses on optimizing processes and systems in industries to increase efficiency and reduce costs.,57000,Bachelor's in Industrial Engineering
Telecommunications Engineer,[Network Design | Telecom Systems | Wireless Communication | Network Security],Designs and manages telecommunications systems and networks. ensuring seamless communication.,60000,Bachelor's in Telecommunications Engineering
Mining Engineer,[Mining Operations | Safety Regulations | Resource Management | Environmental Impact Assessment],Manages mining operations. including resource extraction. safety compliance. and environmental considerations.,62000,Bachelor's in Mining Engineering
Software Developer,[Programming | Problem Solving | Software Development | Algorithm Design],Develops and maintains software applications. Works on coding. testing. and debugging. Collaborates with the team.,60000,Bachelor's in Computer Science
Data Scientist,[Data Analysis | Machine Learning | Statistical Analysis | Python],Analyzes and interprets complex data. Develops predictive models and insights for decision-making.,70000,Bachelor's in Data Science or related field
Network Engineer,[Network Configuration | Security | Troubleshooting | Network Design],Manages and maintains computer networks. Ensures network efficiency. security. and reliability.,60000,Bachelor's in Computer Networking
